feature,importance,std
contract,0.08717643183755705,0.005178138127472026
tenure,0.046707968431114105,0.002472289632464288
internet_service,0.0095484900152418,0.004519209762935627
online_security,0.006870010850189762,0.0014125177261927959
monthly_charges,0.005354052029243758,0.002659888138606104
total_charges,0.0047172492185279385,0.0008913395386115284
tech_support,0.004539319021416091,0.001414619992936244
payment_method,0.0033554858043348262,0.0007767982773512337
multiple_lines,0.0029566767418428425,0.0009524901271240733
paperless_billing,0.0026771874757807596,0.0017574699894194671
streaming_movies,0.0015839339688443754,0.0002990816832660216
senior_citizen,0.0006440685628664039,0.00031282552648221614
dependents,0.0004457942597327763,0.000406629566780007
online_backup,0.00025300963600187465,0.0008549110693058229
streaming_tv,0.00022620708362387776,0.0007552148387693704
phone_service,0.00010914774341877487,5.27738459249529e-05
partner,0.0,0.0
device_protection,-1.4531504301404374e-05,1.414606171284259e-05
gender,-0.0002709318246403719,0.0001894414908247222
